"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","7","29.0"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (1 TO 49 HEAD)","27","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (100 TO 399 HEAD)","3","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","30","93.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","AUTAUGA","001","","","00000000","","CHICKENS","CHICKENS, PULLETS, REPLACEMENT - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","12","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","5","29.0"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (1 TO 49 HEAD)","2","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (100 TO 399 HEAD)","2","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (20,000 TO 49,999 HEAD)","1","40.8"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","5","93.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","BULLOCK","011","","","00000000","","CHICKENS","CHICKENS, PULLETS, REPLACEMENT - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","8","29.0"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (1 TO 49 HEAD)","8","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (50 TO 99 HEAD)","8","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","16","93.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","DALLAS","047","","","00000000","","CHICKENS","CHICKENS, PULLETS, REPLACEMENT - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","3","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","16","29.0"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (1 TO 49 HEAD)","89","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (100 TO 399 HEAD)","3","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (400 TO 3,199 HEAD)","2","74.4"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (50 TO 99 HEAD)","4","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","BLACK BELT","40","ELMORE","051","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","98","93.7"
